a	a1
erbaten	E0 r b a1 t @0 n
erbaue	E0 r b B1 @0
erbauen	E0 r b B1 @0 n
erbauer	E0 r b B1 @0 r
erbauet	E0 r b B1 @0 t
erbaust	E0 r b B1 s t
erbaut	E0 r b B1 t
erbaute	E0 r b B1 t @0
erbauten	E0 r b B1 t @0 n
erbauung	E0 r b B1 U0 N
erbbegräbnis	E1 r p b @0 g r )0 p n I0 s
erbbesitz	E1 r p b @0 z I0 =
erbbesitzes	E1 r p b @0 z I0 = @0 s
erbe	E1 r b @0
erbebe	E0 r b e1 b @0
erbeben	E0 r b e1 b @0 n
erbebt	E0 r b e1 p t
erbebte	E0 r b e1 p t @0
erbebten	E0 r b e1 p t @0 n
erben	E1 r b @0 n
erbes	E1 r b @0 s
erbeten	E0 r b e1 t @0 n
erbetenen	E0 r b e1 t @0 n @0 n
erbetener	E0 r b e1 t @0 n @0 r
erbeutet	E0 r b X1 t @0 t
erbgut	E1 r p g u0 t
erbitte	E0 r b I1 t @0
erbitten	E0 r b I1 t @0 n
erbittern	E0 r b I1 t @0 r n
erbittert	E0 r b I1 t @0 r t
erbland	E1 r p l &0 n t
erblande	E0 r b l &1 n d @0
erblassen	E0 r b l &1 s @0 n
erbleichen	E0 r b l W1 x @0 n
erbleicht	E0 r b l W1 x t
erblickte	E0 r b l I1 k t @0
erboten	E0 r b o1 t @0 n
erbrachte	E0 r b r &1 x t @0
erbst	E1 r p s t
erbte	E1 r p t @0
erbteil	E1 r p t W0 l
erbteile	E1 r p t W0 l @0
erbteilen	E1 r p t W0 l @0 n
erbteiler	E1 r p t W0 l @0 r
erbteils	E1 r p t W0 l s
erdacht	E0 r d &1 x t
erdachten	E0 r d &1 x t @0 n
erdbeben	e1 r t b e0 b @0 n
erdbebens	e1 r t b e0 b @0 n s
erdboden	e1 r t b o0 d @0 n
erdbodens	e1 r t b o0 d @0 n s
erde	e1 r d @0
erden	e1 r d @0 n
erdenken	E0 r d E1 N k @0 n
erdenkloss	E0 r d E1 N k l o1 s
erdenkt	E0 r d E1 N k t
erdharz	e1 r t h a0 r =
erdharzgruben	e1 r t h a0 r = g r u0 b @0 n
erdichtet	E0 r d I1 x t @0 t
erdichteten	E0 r d I1 x t @0 t @0 n
erdklumpen	e1 r t k l U1 m p @0 n
erdkreis	e1 r t k r W0 s
erdkreises	e1 r t k r W0 z @0 s
erdreich	e1 r t r W0 x
erdröhnte	E0 r d r 1 n t @0
erdrückt	E0 r d r Y1 k t
erdscheibe	e1 r t S W0 b @0
erduldet	E0 r d U1 l d @0 t
erduldete	E0 r d U1 l d @0 t @0
erech	E0 r E1 x
ereifre	E0 r W1 f r @0
ereilst	E0 r W1 l s t
ereilte	E0 r W1 l t @0
ererbe	E0 r E1 r b @0
ererben	E0 r E1 r b @0 n
ererbet	E0 r E1 r b @0 t
ererbt	E0 r E1 r p t
erfahre	E0 r f a1 r @0
erfahren	E0 r f a1 r @0 n
erfahrene	E0 r f a1 r @0 n @0
erfahrener	E0 r f a1 r @0 n @0 r
erfahrest	E0 r f a1 r @0 s t
erfahret	E0 r f a1 r @0 t
erfahrt	E0 r f a1 r t
erfahrung	E0 r f a1 r U0 N
erfassen	E0 r f &1 s @0 n
erfindet	E0 r f I1 n d @0 t
erfolg	E0 r f O1 l k
erfordert	E0 r f O1 r d @0 r t
erforderte	E0 r f O1 r d @0 r t @0
erforsche	E0 r f O1 r S @0
erforschen	E0 r f O1 r S @0 n
erforscht	E0 r f O1 r S t
erforschte	E0 r f O1 r S t @0
erfragen	E0 r f r a1 g @0 n
erfragt	E0 r f r a1 k t
erfreue	E0 r f r X1 @0
erfreuen	E0 r f r X1 @0 n
erfreut	E0 r f r X1 t
erfreute	E0 r f r X1 t @0
erfrischen	E0 r f r I1 S @0 n
erfuhr	E0 r f u1 r
erfuhren	E0 r f u1 r @0 n
erfunden	E0 r f U1 n d @0 n
erfährst	E0 r f )1 r s t
erfährt	E0 r f )1 r t
erführe	E0 r f y1 r @0
erführest	E0 r f y1 r @0 s t
erfülle	E0 r f Y1 l @0
erfüllen	E0 r f Y1 l @0 n
erfüllet	E0 r f Y1 l @0 t
erfüllt	E0 r f Y1 l t
erfüllte	E0 r f Y1 l t @0
erfüllung	E0 r f Y1 l U0 N
ergaben	E0 r g a1 b @0 n
ergangen	E0 r g &1 N @0 n
ergeben	E0 r g e1 b @0 n
ergebet	E0 r g e1 b @0 t
ergehe	E0 r g e1 @0
ergehen	E0 r g e1 @0 n
ergeht	E0 r g e1 t
ergiesse	E0 r g i1 s @0
ergiessen	E0 r g i1 s @0 n
erging	E0 r g I1 N
ergoss	E0 r g O1 s
ergossen	E0 r g O1 s @0 n
ergraute	E0 r g r B1 t @0
ergreife	E0 r g r W1 f @0
ergreifen	E0 r g r W1 f @0 n
ergreifet	E0 r g r W1 f @0 t
ergreift	E0 r g r W1 f t
ergriff	E0 r g r I1 f
ergriffen	E0 r g r I1 f @0 n
ergrimme	E0 r g r I1 m @0
ergrimmen	E0 r g r I1 m @0 n
ergrimmst	E0 r g r I1 m s t
ergrimmt	E0 r g r I1 m t
ergrimmte	E0 r g r I1 m t @0
ergründen	E0 r g r Y1 n d @0 n
ergründet	E0 r g r Y1 n d @0 t
ergründete	E0 r g r Y1 n d @0 t @0
ergötze	E0 r g /1 = @0
ergötzen	E0 r g /1 = @0 n
erhaben	E0 r h a1 b @0 n
erhabene	E0 r h a1 b @0 n @0
erhabenem	E0 r h a1 b @0 n @0 m
erhabenen	E0 r h a1 b @0 n @0 n
erhabener	E0 r h a1 b @0 n @0 r
erhalte	E0 r h &1 l t @0
erhalten	E0 r h &1 l t @0 n
erhaltet	E0 r h &1 l t @0 t
erhandelt	E0 r h &1 n d @0 l t
erhasche	E0 r h &1 S @0
erhascht	E0 r h &1 S t
erhebe	E0 r h e1 b @0
erheben	E0 r h e1 b @0 n
erhebet	E0 r h e1 b @0 t
erhebst	E0 r h e1 p s t
erhebt	E0 r h e1 p t
erhielt	E0 r h i1 l t
erhielten	E0 r h i1 l t @0 n
erhieltest	E0 r h i1 l t @0 s t
erhitzt	E0 r h I1 = t
erhob	E0 r h o1 p
erhoben	E0 r h o1 b @0 n
erhobene	E0 r h o1 b @0 n @0
erhobst	E0 r h o1 p s t
erhält	E0 r h E1 l t
erhältst	E0 r h E1 l = t
erhängte	E0 r h E1 N t @0
erhöbe	E0 r h 1 b @0
erhöhe	E0 r h 1 @0
erhöhen	E0 r h 1 @0 n
erhöhst	E0 r h 1 s t
erhöht	E0 r h 1 t
erhöhte	E0 r h 1 t @0
erhöhten	E0 r h 1 t @0 n
erhöhtes	E0 r h 1 t @0 s
erhöhung	E0 r h 1 U0 N
erhöhungen	E0 r h 1 U0 N @0 n
erhöre	E0 r h 1 r @0
erhören	E0 r h 1 r @0 n
erhörest	E0 r h 1 r @0 s t
erhört	E0 r h 1 r t
erhörte	E0 r h 1 r t @0
erhörtest	E0 r h 1 r t @0 s t
eri	e0 r i0
erinnere	E0 r I1 n @0 r @0
erinnern	E0 r I1 n @0 r n
erinnerst	E0 r I1 n @0 r s t
erinnert	E0 r I1 n @0 r t
erinnerung	E0 r I1 n @0 r U0 N
erinnerungsopfer	E0 r I1 n @0 r U0 N s O0 + @0 r
eriter	e0 r i0 t @0 r
erjagen	E0 r j a1 g @0 n
erkalten	E0 r k &1 l t @0 n
erkannt	E0 r k &1 n t
erkannte	E0 r k &1 n t @0
erkannten	E0 r k &1 n t @0 n
erkanntest	E0 r k &1 n t @0 s t
erkaufen	E0 r k B1 f @0 n
erkauft	E0 r k B1 f t
erkenne	E0 r k E1 n @0
erkennen	E0 r k E1 n @0 n
erkennest	E0 r k E1 n @0 s t
erkennet	E0 r k E1 n @0 t
erkennete	E0 r k E1 n @0 t @0
erkennst	E0 r k E1 n s t
erkennt	E0 r k E1 n t
erkennte	E0 r k E1 n t @0
erkenntest	E0 r k E1 n t @0 s t
erkenntet	E0 r k E1 n t @0 t
erkenntnis	E0 r k E1 n t n I0 s
erklingt	E0 r k l I1 N t
erklären	E0 r k l )1 r @0 n
erklärt	E0 r k l )1 r t
erklärte	E0 r k l )1 r t @0
erkoren	E0 r k o1 r @0 n
erkrankte	E0 r k r &1 N k t @0
erkunde	E0 r k U1 n d @0
erkunden	E0 r k U1 n d @0 n
erkundet	E0 r k U1 n d @0 t
erkundeten	E0 r k U1 n d @0 t @0 n
erkundigt	E0 r k Y1 n d I0 x t
erlangen	E0 r l &1 N @0 n
erlanget	E0 r l &1 N @0 t
erlangt	E0 r l &1 N t
erlangte	E0 r l &1 N t @0
erlangten	E0 r l &1 N t @0 n
erlass	E0 r l &1 s
erlassen	E0 r l &1 s @0 n
erlasset	E0 r l &1 s @0 t
erlassjahr	E0 r l E1 s j a0 r
erlassjahrs	E0 r l E1 s j a0 r s
erlasst	E0 r l &1 s t
erlaube	E0 r l B1 b @0
erlaubnis	E0 r l B1 p n I0 s
erlaubt	E0 r l B1 p t
erlaubte	E0 r l B1 p t @0
erleben	E0 r l e1 b @0 n
erlebt	E0 r l e1 p t
erleichtere	E0 r l W1 x t @0 r @0
erleichtern	E0 r l W1 x t @0 r n
erleichterten	E0 r l W1 x t @0 r t @0 n
erleiden	E0 r l W1 d @0 n
erlernt	E0 r l E1 r n t
erlernte	E0 r l E1 r n t @0
erlesenen	E0 r l e1 z @0 n @0 n
erlesenes	E0 r l e1 z @0 n @0 s
erleuchte	E0 r l X1 x t @0
erleuchten	E0 r l X1 x t @0 n
erleuchtet	E0 r l X1 x t @0 t
erleuchtete	E0 r l X1 x t @0 t @0
erleuchtung	E0 r l X1 x t U0 N
erliess	E0 r l i1 s
erlitten	E0 r l I1 t @0 n
erlittet	E0 r l I1 t @0 t
erlässt	E0 r l E1 s t
erlöschen	E0 r l /1 S @0 n
erlöschende	E0 r l /1 S @0 n d @0
erlöse	E0 r l 1 z @0
erlösen	E0 r l 1 z @0 n
erlöser	E0 r l 1 z @0 r
erlösest	E0 r l 1 z @0 s t
erlöset	E0 r l 1 z @0 t
erlöst	E0 r l 1 s t
erlöste	E0 r l 1 s t @0
erlösten	E0 r l 1 s t @0 n
erlösung	E0 r l 1 z U0 N
ermahne	E0 r m a1 n @0
ermahnen	E0 r m a1 n @0 n
ermahnens	E0 r m a1 n @0 n s
ermahnet	E0 r m a1 n @0 t
ermahnt	E0 r m a1 n t
ermahnte	E0 r m a1 n t @0
ermahnten	E0 r m a1 n t @0 n
ermahnung	E0 r m a1 n U0 N
ermahnungen	E0 r m a1 n U0 N @0 n
ermannen	E0 r m &1 n @0 n
ermannte	E0 r m &1 n t @0
ermattet	E0 r m &1 t @0 t
ermessen	E0 r m E1 s @0 n
ermordet	E0 r m O1 r d @0 t
ermordete	E0 r m O1 r d @0 t @0
ermutigte	E0 r m u1 t I0 x t @0
ermüdet	E0 r m y1 d @0 t
erneue	E0 r n X1 @0
erneuern	E0 r n X1 @0 r n
erneuert	E0 r n X1 @0 r t
erneuerte	E0 r n X1 @0 r t @0
erneuerung	E0 r n X1 @0 r U0 N
erneut	E0 r n X1 t
erniedrige	E0 r n i1 d r I0 g @0
erniedrigen	E0 r n i1 d r I0 g @0 n
erniedrigest	E0 r n i1 d r I0 g @0 s t
erniedrigt	E0 r n i1 d r I0 x t
erniedrigte	E0 r n i1 d r I0 x t @0
erniedrigung	E0 r n i1 d r I0 g U0 N
ernst	E1 r n s t
ernsten	E1 r n s t @0 n
ernstlich	E1 r n s t l I0 x
ernte	E1 r n t @0
ernten	E1 r n t @0 n
erntens	E1 r n t @0 n s
erntest	E1 r n t @0 s t
erntet	E1 r n t @0 t
erntete	E1 r n t @0 t @0
ernteten	E1 r n t @0 t @0 n
ernähren	E0 r n )1 r @0 n
ernährt	E0 r n )1 r t
ernährte	E0 r n )1 r t @0
erobere	E0 r o1 b @0 r @0
erobern	E0 r o1 b @0 r n
erobert	E0 r o1 b @0 r t
eroberte	E0 r o1 b @0 r t @0
eroberten	E0 r o1 b @0 r t @0 n
erprobe	E0 r p r o1 b @0
erquicke	E0 r k v I1 k @0
erquicken	E0 r k v I1 k @0 n
erquickt	E0 r k v I1 k t
erquickte	E0 r k v I1 k t @0
erquickung	E0 r k v I1 k U0 N
errafftes	E0 r r &1 f t @0 s
erraten	E0 r r a1 t @0 n
erratet	E0 r r a1 t @0 t
errechnet	E0 r r E1 x n @0 t
errege	E0 r r e1 g @0
erregen	E0 r r e1 g @0 n
erregt	E0 r r e1 k t
erregte	E0 r r e1 k t @0
erregten	E0 r r e1 k t @0 n
erreichen	E0 r r W1 x @0 n
erreicht	E0 r r W1 x t
erreichten	E0 r r W1 x t @0 n
errette	E0 r r E1 t @0
erretten	E0 r r E1 t @0 n
erretter	E0 r r E1 t @0 r
errettest	E0 r r E1 t @0 s t
errettet	E0 r r E1 t @0 t
errettete	E0 r r E1 t @0 t @0
erretteten	E0 r r E1 t @0 t @0 n
errettetest	E0 r r E1 t @0 t @0 s t
errettung	E0 r r E1 t U0 N
errichte	E0 r r I1 x t @0
errichten	E0 r r I1 x t @0 n
errichtet	E0 r r I1 x t @0 t
errichtete	E0 r r I1 x t @0 t @0
errichtung	E0 r r I1 x t U0 N
ers	e1 r s
ersah	E0 r z a1
ersann	E0 r z &1 n
ersannen	E0 r z &1 n @0 n
ersatz	E0 r z &1 =
erschaffen	E0 r S &1 f @0 n
erschallen	E0 r S &1 l @0 n
erschallt	E0 r S &1 l t
erschaudern	E0 r S B1 d @0 r n
erscheine	E0 r S W1 n @0
erscheinen	E0 r S W1 n @0 n
erscheint	E0 r S W1 n t
erscheinung	E0 r S W1 n U0 N
erschien	E0 r S i1 n
erschienen	E0 r S i1 n @0 n
erschiessen	E0 r S i1 s @0 n
erschlage	E0 r S l a1 g @0
erschlagen	E0 r S l a1 g @0 n
erschlagene	E0 r S l a0 g @0 n @0
erschlagenen	E0 r S l a0 g @0 n @0 n
erschlagener	E0 r S l a0 g @0 n @0 r
erschlagt	E0 r S l a1 k t
erschleichen	E0 r S l W1 x @0 n
erschlug	E0 r S l u1 k
erschlugen	E0 r S l u1 g @0 n
erschlägst	E0 r S l )1 k s t
erschlägt	E0 r S l )1 k t
erschlüge	E0 r S l y1 g @0
erscholl	E0 r S O1 l
erschollen	E0 r S O1 l @0 n
erschossen	E0 r S O1 s @0 n
erschrak	E0 r S r a1 k
erschraken	E0 r S r a1 k @0 n
erschrecke	E0 r S r E1 k @0
erschrecken	E0 r S r E1 k @0 n
erschreckend	E0 r S r E1 k @0 n t
erschrecket	E0 r S r E1 k @0 t
erschreckt	E0 r S r E1 k t
erschreckte	E0 r S r E1 k t @0
erschreckten	E0 r S r E1 k t @0 n
erschrecktest	E0 r S r E1 k t @0 s t
erschrick	E0 r S r I1 k
erschrickst	E0 r S r I1 k s t
erschrickt	E0 r S r I1 k t
erschrocken	E0 r S r O1 k @0 n
erschöpft	E0 r S /1 + t
erschüttern	E0 r S Y1 t @0 r n
ersehen	E0 r z e1 @0 n
ersehnte	E0 r z e1 n t @0
ersehnten	E0 r z e1 n t @0 n
ersetzen	E0 r z E1 = @0 n
ersetzt	E0 r z E1 = t
ersinne	E0 r z I1 n @0
ersinnen	E0 r z I1 n @0 n
ersoff	E0 r z O1 f
ersoffen	E0 r z O1 f @0 n
ersonnen	E0 r z O1 n @0 n
erspäht	E0 r S p )1 t
erst	e1 r s t
erstarb	E0 r S t &1 r p
erstarren	E0 r S t &1 r @0 n
erstarrt	E0 r S t &1 r t
erstarrte	E0 r S t &1 r t @0
erstarrten	E0 r S t &1 r t @0 n
erstatte	E0 r S t &1 t @0
erstatten	E0 r S t &1 t @0 n
erstattet	E0 r S t &1 t @0 t
erstatteten	E0 r S t &1 t @0 t @0 n
erste	e1 r s t @0
erstechen	E0 r S t E1 x @0 n
erstehen	E0 r S t e1 @0 n
ersteigen	E0 r S t W1 g @0 n
ersteigt	E0 r S t W1 k t
erstellen	E0 r S t E1 l @0 n
erstem	e1 r s t @0 m
erstemal	e1 r s t @0 m a0 l
ersten	e1 r s t @0 n
erster	e1 r s t @0 r
erstgeborene	e1 r s t g @0 b o0 r @0 n @0
erstgeborenen	e1 r s t g @0 b o0 r @0 n @0 n
erstgeborener	e1 r s t g @0 b o0 r @0 n @0 r
erstgeborne	e1 r s t g @0 b o0 r n @0
erstgebornen	e1 r s t g @0 b o0 r n @0 n
erstgeburt	e1 r s t g @0 b u0 r t
erstgeburten	e1 r s t g @0 b u0 r t @0 n
erstgeburtsrecht	e1 r s t g @0 b u0 r = r E0 x t
erstich	E0 r S t I0 x
ersticken	E0 r S t I1 k @0 n
erstickt	E0 r S t I1 k t
ersticktem	E0 r S t I1 k t @0 m
erstickten	E0 r S t I1 k t @0 n
erstiegen	E0 r S t i1 g @0 n
erstirbt	E0 r S t I1 r p t
erstling	e1 r s t l I0 N
erstlinge	e1 r s t l I0 N @0
erstlingen	e1 r s t l I0 N @0 n
erstlings	e1 r s t l I0 N s
erstlingsbrot	e1 r s t l I0 N s b r o0 t
erstlingsbroten	e1 r s t l I0 N s b r o0 t @0 n
erstlingserbe	e1 r s t l I0 N s E0 r b @0
erstlingsfrucht	e1 r s t l I0 N s f r U0 x t
erstlingsgabe	e1 r s t l I0 N s g a0 b @0
erstlingsgaben	e1 r s t l I0 N s g a0 b @0 n
erstochen	E0 r S t O1 x @0 n
erstochenen	E0 r S t O1 x @0 n @0 n
erstorben	E0 r S t O1 r b @0 n
erstorbenen	E0 r S t O1 r b @0 n @0 n
erstrecken	E0 r S t r E1 k @0 n
erstürmen	E0 r S t Y1 r m @0 n
erstürmte	E0 r S t Y1 r m t @0
ersäufe	E0 r z B1 f @0
ersäufen	E0 r z B1 f @0 n
ersäuft	E0 r z B1 f t
ertappt	E0 r t &1 p t
ertrag	E0 r t r a1 k
ertragen	E0 r t r a1 g @0 n
ertrages	E0 r t r a1 g @0 s
ertraget	E0 r t r a1 g @0 t
ertragt	E0 r t r a1 k t
ertranken	E0 r t r &1 N k @0 n
ertrug	E0 r t r u1 k
ertrugen	E0 r t r u1 g @0 n
erträglicher	E0 r t r )1 k l I0 x @0 r
erträgt	E0 r t r )1 k t
ertränken	E0 r t r E1 N k @0 n
ertönten	E0 r t 1 n t @0 n
ertötet	E0 r t 1 t @0 t
erwachen	E0 r v &1 x @0 n
erwachenden	E0 r v &1 x @0 n d @0 n
erwacht	E0 r v &1 x t
erwachte	E0 r v &1 x t @0
erwarb	E0 r v &1 r p
erwarten	E0 r v &1 r t @0 n
erwartet	E0 r v &1 r t @0 t
erwartete	E0 r v &1 r t @0 t @0
erwartung	E0 r v &1 r t U0 N
erwecke	E0 r v E1 k @0
erwecken	E0 r v E1 k @0 n
erweckest	E0 r v E1 k @0 s t
erweckt	E0 r v E1 k t
erweckte	E0 r v E1 k t @0
erweis	E0 r v W1 s
erweise	E0 r v W1 z @0
erweisen	E0 r v W1 z @0 n
erweiset	E0 r v W1 z @0 t
erweist	E0 r v W1 s t
erweisung	E0 r v W1 z U0 N
erweisungen	E0 r v W1 z U0 N @0 n
erweitern	E0 r v W1 t @0 r n
erwerb	E0 r v E1 r p
erwerben	E0 r v E1 r b @0 n
erwies	E0 r v i1 s
erwiesen	E0 r v i1 z @0 n
erwiesest	E0 r v i1 z @0 s t
erwirb	E0 r v I1 r p
erwirbt	E0 r v I1 r p t
erwirken	E0 r v I1 r k @0 n
erwischt	E0 r v I1 S t
erwischte	E0 r v I1 S t @0
erwog	E0 r v o1 k
erworben	E0 r v O1 r b @0 n
erwächst	E0 r v E1 k s t
erwähle	E0 r v )1 l @0
erwählen	E0 r v )1 l @0 n
erwählst	E0 r v )1 l s t
erwählt	E0 r v )1 l t
erwählte	E0 r v )1 l t @0
erwählten	E0 r v )1 l t @0 n
erwähltet	E0 r v )1 l t @0 t
erwählung	E0 r v )1 l U0 N
erwärmen	E0 r v E1 r m @0 n
erwärmt	E0 r v E1 r m t
erwürge	E0 r v Y1 r g @0
erwürgen	E0 r v Y1 r g @0 n
erwürget	E0 r v Y1 r g @0 t
erwürgt	E0 r v Y1 r k t
erwürgte	E0 r v Y1 r k t @0
erwürgten	E0 r v Y1 r k t @0 n
erz	E1 r =
erzbösewicht	E1 r = b 1 z @0 v I0 x t
erzeige	E0 r = W1 g @0
erzeigen	E0 r = W1 g @0 n
erzeigest	E0 r = W1 g @0 s t
erzeiget	E0 r = W1 g @0 t
erzeigete	E0 r = W1 g @0 t @0
erzeigt	E0 r = W1 k t
erzeigte	E0 r = W1 k t @0
erzeigten	E0 r = W1 k t @0 n
erzengel	E1 r = E0 N @0 l
erzengels	E1 r = E0 N @0 l s
erzes	e1 r = @0 s
erzeugen	E0 r = X1 g @0 n
erzeugt	E0 r = X1 k t
erzhirte	E1 r = h I1 r t @0
erzhure	E1 r = h u0 r @0
erziehe	E0 r = i1 @0
erziehen	E0 r = i1 @0 n
erzieher	E0 r = i1 @0 r
erzieht	E0 r = i1 t
erziehung	E0 r = i1 U0 N
erzittere	E0 r = I1 t @0 r @0
erzittern	E0 r = I1 t @0 r n
erzittert	E0 r = I1 t @0 r t
erzitterte	E0 r = I1 t @0 r t @0
erzogen	E0 r = o1 g @0 n
erzvater	E1 r = f a0 t @0 r
erzväter	E1 r = f )0 t @0 r
erzähle	E0 r = )1 l @0
erzählen	E0 r = )1 l @0 n
erzählet	E0 r = )1 l @0 t
erzählt	E0 r = )1 l t
erzählte	E0 r = )1 l t @0
erzählten	E0 r = )1 l t @0 n
erzürne	E0 r = Y1 r n @0
erzürnen	E0 r = Y1 r n @0 n
erzürnet	E0 r = Y1 r n @0 t
erzürnt	E0 r = Y1 r n t
erzürnte	E0 r = Y1 r n t @0
erzürnten	E0 r = Y1 r n t @0 n
erzürntest	E0 r = Y1 r n t @0 s t
erzürntet	E0 r = Y1 r n t @0 t
eröffnen	E0 r /1 f n @0 n
eröffnet	E0 r /1 f n @0 t
es	E1 s
esau	e0 z B1
esaus	E1 s B0 s
esbais	E1 s b W1 s
esban	e1 s b a0 n
eschan	e0 x &1 n
eschbaal	E1 S b a0 l
eschban	E1 S b a0 n
eschek	E1 S @0 k
eschkol	E1 S k o1 l
eschtaol	E1 S t a0 o0 l
eschtaoliter	E1 S t a0 o0 l i1 t @0 r
eschtemo	E1 S t @0 m o0
eschtemoa	E1 S t @0 m o1 a0
eschtemoas	E1 S t @0 m o1 a0 s
eschton	E1 S t O0 n
eschtons	E1 S t ~1 s
esek	e1 z @0 k
esel	e1 z @0 l
eselin	e1 z @0 l I0 n
eselinnen	e1 z @0 l I0 n @0 n
eseln	e1 z @0 l n
esels	e1 z @0 l s
eselsfüllen	e1 z @0 l s f Y0 l @0 n
eselskinnbacken	e1 z @0 l s k I1 n b &0 k @0 n
eselskopf	e1 z @0 l s k O0 +
eser	e1 z @0 r
esers	e1 z @0 r s
eskol	E0 s k o0 l
eskols	E0 s k o0 l s
eslis	E1 s l i0 s
esra	E1 s r a0
esrachiter	E1 s r &0 x i1 t @0 r
esras	E1 s r a0 s
esri	E1 s r i0
esse	E1 s @0
essen	E1 s @0 n
essenszeit	E1 s @0 n s = W0 t
essest	E1 s @0 s t
esset	E1 s @0 t
essig	E1 s I0 x
essigtrank	E1 s I0 x t r &0 N k
esst	E1 s t
esther	E1 s t h e1 r
esthers	E1 s t @0 r s
etam	e0 t &1 m
etams	e0 t &1 m s
eth	e1 t
etham	e1 t &0 m
ethan	e1 t a1 n
ethanim	e1 t &0 n i1 m
ethans	e1 t a1 n s
ethbaals	e1 t b a0 l s
ether	e1 t @0 r
ethnan	e1 t n a0 n
ethnis	e1 t n I0 s
etliche	E1 t l I0 x @0
etlichen	E1 t l I0 x @0 n
etlicher	E1 t l I0 x @0 r
etliches	E1 t l I0 x @0 s
etwa	E1 t v a0
etwas	E1 t v &0 s
eubulus	X1 b u0 l U0 s
euch	X1 x
euer	X1 @0 r
euern	X1 @0 r n
eulen	X1 l @0 n
eunike	X0 n i1 k @0
euodia	X1 o0 d i0 a0
euphrat	X0 f r a0 t
euphratstrom	X0 f r a0 t S t r o0 m
euphratstroms	X0 f r a0 t S t r o0 m s
eure	X1 r @0
eurem	X1 r @0 m
euren	X1 r @0 n
eurer	X1 r @0 r
eures	X1 r @0 s
eurethalben	X1 r @0 t h &1 l b @0 n
euretwillen	X1 r @0 t v I1 l @0 n
eutychus	X1 t y0 x U0 s
eva	e1 f a0
evangelisten	e0 v &0 N g e0 l I1 s t @0 n
evangelium	e0 v &0 N g e1 l i0 U0 m
evangeliums	e0 v &0 N g e1 l i0 U0 m s
evil	e0 v i1 l
ewi	e1 v i0
ewig	e1 v I0 x
ewige	e1 v I0 g @0
ewigem	e1 v I0 g @0 m
ewigen	e1 v I0 g @0 n
ewiger	e1 v I0 g @0 r
ewiges	e1 v I0 g @0 s
ewigkeit	e1 v I0 x k W0 t
ewiglich	e1 v I0 k l I0 x
ezbon	e0 = b O0 N
ezem	e1 = @0 m
ezer	e0 = @0 r
ezers	e0 = @0 r s
ezjon	e1 j o1 n
fabeln	f a1 b @0 l n
facht	f &1 x t
fackel	f &1 k @0 l
fackeln	f &1 k @0 l n
faden	f a1 d @0 n
fades	f a1 d @0 s
fahles	f a1 l @0 s
fahr	f a1 r
fahre	f a1 r @0
fahren	f a1 r @0 n
fahrer	f a1 r @0 r
fahrest	f a1 r @0 s t
fahret	f a1 r @0 t
fahrt	f a1 r t
fahrten	f a1 r t @0 n
falke	f &1 l k @0
falkenauge	f &1 l k @0 n B0 g @0
fall	f &1 l
falle	f &1 l @0
fallen	f &1 l @0 n
fallenden	f &1 l @0 n d @0 n
fallest	f &1 l @0 s t
fallet	f &1 l @0 t
falls	f &1 l s
fallstrick	f &1 l S t r I1 k
fallt	f &1 l t
falsch	f &1 l S
falsche	f &1 l S @0
falschen	f &1 l S @0 n
falscher	f &1 l S @0 r
falsches	f &1 l S @0 s
falschheit	f &1 l S h W0 t
familie	f &0 m i0 l i0 @0
familien	f &0 m i0 l i0 @0 n
fand	f &1 n t
fanden	f &1 n d @0 n
fandest	f &1 n d @0 s t
fange	f &1 N @0
fangen	f &1 N @0 n
fanggruben	f &1 N g r u0 b @0 n
fangnetz	f &1 N n E0 =
fangschnur	f &1 N S n u0 r
fangstrick	f &1 N S t r I1 k
fangt	f &1 N t
farbe	f &1 r b @0
farren	f &1 r @0 n
fass	f &1 s
fasse	f &1 s @0
fassen	f &1 s @0 n
fasset	f &1 s @0 t
fasst	f &1 s t
fasste	f &1 s t @0
fassten	f &1 s t @0 n
fast	f a1 s t
faste	f &1 s t @0
fasten	f &1 s t @0 n
fastenzeit	f &1 s t @0 n = W0 t
fastest	f a1 s t @0 s t
fastet	f &1 s t @0 t
fastete	f &1 s t @0 t @0
fasteten	f &1 s t @0 t @0 n
fastetet	f &1 s t @0 t @0 t
fasttage	f &1 s t t a0 g @0
faul	f B1 l
faule	f B1 l @0
faulen	f B1 l @0 n
fauler	f B1 l @0 r
faules	f B1 l @0 s
faulheit	f B0 l h W0 t
faulig	f B1 l I0 x
fault	f B1 l t
faust	f B1 s t
fechte	f E1 x t @0
feder	f e1 d @0 r
federvieh	f e1 d @0 r f i0
fegen	f e1 g @0 n
feget	f e1 g @0 t
fegte	f e1 k t @0
fehl	f e1 l
fehlbitte	f e1 l b I0 t @0
fehle	f e1 l @0
fehlen	f e1 l @0 n
fehler	f e1 l @0 r
fehlerhaftes	f e1 l @0 r h &0 f t @0 s
fehlet	f e1 l @0 t
fehlgeburt	f e1 l g @0 b u0 r t
fehlgehen	f e1 l g e0 @0 n
fehlschlagen	f e1 l S l a0 g @0 n
fehlt	f e1 l t
fehlte	f e1 l t @0
fehlten	f e1 l t @0 n
feiere	f W1 @0 r @0
feierkleid	f W1 @0 r k l W0 t
feierkleider	f W1 @0 r k l W0 d @0 r
