a	a1
abischur	&1 p I0 S u1 r
abischurs	&1 p I0 S U0 r s
abital	&0 b i0 t a1 l
abitub	&0 b i0 t u1 p
abiud	&1 p I0 u0 t
abiël	&0 b i1 l
abiëls	&0 b i0 l s
abiëser	&0 b i1 z @0 r
abiësers	&0 b i1 z @0 r s
abiësriter	&1 p I0 s r I0 t @0 r
abjathar	&0 p j a0 t &0 r
abjathars	&0 p j a0 t &1 r s
abkaufen	&1 p k B0 f @0 n
abkaufst	&1 p k B0 f s t
abkehr	&1 p k e0 r
abkehren	&1 p k e0 r @0 n
abkehrt	&1 p k e0 r t
abknicken	&1 p k n I0 k @0 n
ablasse	&1 p l &0 s @0
ablassen	&1 p l &0 s @0 n
ablasset	&1 p l &0 s @0 t
ablegen	&1 p l e0 g @0 n
ablegt	&1 p l e0 k t
ablegte	&1 p l e0 k t @0
ablegtet	&1 p l e0 k t @0 t
ableugnet	&1 p l X0 g n @0 t
abliesse	&1 p l i0 s @0
ablässt	&1 p l E0 s t
ablösen	&1 p l 0 z @0 n
ablöst	&1 p l 0 s t
ablösung	&1 p l 0 z U0 N
abmachung	&1 p m &0 x U0 N
abmessen	&1 p m E0 s @0 n
abmüht	&1 p m y0 t
abnagen	&1 p n a0 g @0 n
abnehmen	&1 p n e0 m @0 n
abner	a1 b n @0 r
abners	&1 p n @0 r s
abnimmt	&1 p n I0 m t
abraham	&1 p r a0 &0 m
abrahams	&1 p r a0 &0 m s
abram	&1 p r &0 m
abrams	&1 p r &0 m s
abrechnen	&1 p r E0 x n @0 n
abreissen	&1 p r W0 s @0 n
abreisten	&1 p r W0 s t @0 n
abriegelte	&1 p r i0 g @0 l t @0
abrona	&1 p r O0 n a0
abrupfen	&1 p r U0 + @0 n
absagen	&1 p z a0 g @0 n
absagt	&1 p z a0 k t
absalom	&1 p z &0 l o0 m
absaloms	&1 p z &0 l o0 m s
absatz	&1 p z &0 =
absatzes	&1 p z &0 = @0 s
abschaben	&1 p S a0 b @0 n
abschaffen	&1 p S &0 f @0 n
abschaum	&1 p S B0 m
abscheiden	&1 p S W0 d @0 n
abscheidens	&1 p S W0 d @0 n s
abschere	&1 p S e0 r @0
abscheren	&1 p S e0 r @0 n
abscheu	&1 p S X0
abscheuliche	&1 p S X0 l I0 x @0
abschied	&1 p S i0 t
abschlage	&1 p S l a0 g @0
abschleppen	&1 p S l E0 p @0 n
abschluss	&1 p S l U0 s
abschneide	&1 p S n W0 d @0
abschneiden	&1 p S n W0 d @0 n
abschnitt	&1 p S n I0 t
abschnitte	&1 p S n I0 t @0
abschrecken	&1 p S r E0 k @0 n
abschrift	&1 p S r I0 f t
abseits	&1 p z W0 =
absicht	&1 p z I0 x t
absondern	&1 p z O0 n d @0 r n
absondert	&1 p z O0 n d @0 r t
absonderte	&1 p z O0 n d @0 r t @0
abspülen	&1 p S p y0 l @0 n
abstammen	&1 p S t &0 m @0 n
abstammung	&1 p S t &0 m U0 N
abstand	&1 p S t &0 n t
abstösst	&1 p S t 0 s t
absätze	&1 p z E0 = @0
abteilung	&1 p t W0 l U0 N
abteilungen	&1 p t W0 l U0 N @0 n
abtragen	&1 p t r a0 g @0 n
abtraten	&1 p t r a0 t @0 n
abtrennen	&1 p t r E0 n @0 n
abtreten	&1 p t r e0 t @0 n
abtrünnig	&1 p t r y0 n I0 x
abtrünnige	&1 p t r y0 n I0 g @0
abtrünnigen	&1 p t r y0 n I0 g @0 n
abtrünniger	&1 p t r y0 n I0 g @0 r
abtrünniges	&1 p t r y0 n I0 g @0 s
abtrünnigkeit	&1 p t r y0 n I0 x k W0 t
abtun	&1 p t u0 n
abtäte	&1 p t )0 t @0
abwarfen	&1 p v &0 r f @0 n
abwaschen	&1 p v &0 S @0 n
abwege	&1 p v e0 g @0
abwegen	&1 p v e0 g @0 n
abwehr	&1 p v e0 r
abwehren	&1 p v e0 r @0 n
abweichen	&1 p v W0 x @0 n
abweichst	&1 p v W0 x s t
abweicht	&1 p v W0 x t
abweiden	&1 p v W0 d @0 n
abweisen	&1 p v W0 z @0 n
abweisender	&1 p v W0 z @0 n d @0 r
abweiset	&1 p v W0 z @0 t
abwende	&1 p v E0 n d @0
abwenden	&1 p v E0 n d @0 n
abwendet	&1 p v E0 n d @0 t
abwendete	&1 p v E0 n d @0 t @0
abwendig	&1 p v E0 n d I0 x
abwerfen	&1 p v E0 r f @0 n
abwesend	&1 p v e0 z @0 n t
abwesenheit	&1 p v e0 z @0 n h W0 t
abwiesen	&1 p v i0 z @0 n
abwirft	&1 p v I0 r f t
abwischen	&1 p v I0 S @0 n
abwärts	&1 p v E0 r =
abwäscht	&1 p v E0 S t
abziehe	&1 p = i0 @0
abziehen	&1 p = i0 @0 n
abzieht	&1 p = i0 t
abzogen	&1 p = o0 g @0 n
abzufallen	&1 p = u0 f &0 l @0 n
abzuhauen	&1 p = u0 h B0 @0 n
abzulassen	&1 p = u0 l &0 s @0 n
abzuscheiden	&1 p = u0 S W0 d @0 n
abzuschlagen	&1 p = u0 S l a0 g @0 n
abzuschrecken	&1 p = u0 S r E0 k @0 n
abzutrennen	&1 p = u0 t r E0 n @0 n
abzuwenden	&1 p = u0 v E0 n d @0 n
abzählen	&1 p = )0 l @0 n
ach	&1 x
achaikus	&0 x a1 i0 k U0 s
achaja	&0 x a1 j a0
achajas	&0 x a1 j a0 s
achan	&0 x a1 n
achat	&0 x a1 t
achban	&1 x b a0 n
achbor	&1 x b o1 r
achbors	&1 x b O0 r s
achim	&0 x I1 m
achis	&0 x I1 s
achjan	a1 x j a0 n
achjo	a1 x j o0
achlab	&1 x l &1 p
achlai	&1 x l W1
achlais	&1 x l )1
achmetha	&1 x m e0 t a0
achor	&0 k o0 r
achrach	&0 k r &0 x
achsa	&1 k s a0
achschaph	&1 x S a1 f
achsel	&1 k s @0 l
achseln	&1 k s @0 l n
achsen	&1 k s @0 n
achsib	&1 k s I0 p
achsip	&1 k s I0 p
acht	&1 x t
achte	&1 x t @0
achten	&1 x t @0 n
achtest	&1 x t @0 s t
achtet	&1 x t @0 t
achtete	&1 x t @0 t @0
achteten	&1 x t @0 t @0 n
achtgab	&1 x t g a0 p
achtgeben	&1 x t g e0 b @0 n
achtgehabt	&1 x t g @0 h a0 p t
achtgibt	&1 x t g i0 p t
achthaben	&1 x t h a0 b @0 n
achthat	&1 x t h &0 t
achthatte	&1 x t h &0 t @0
achthundert	&0 x t h U1 n d @0 r t
achthunderttausend	&0 x t h U1 n d @0 r t t B0 z @0 n t
achthundertunddreissig	&0 x t h U1 n d @0 r t U0 n t d r W1 s I0 x
achthundertundfünzig	&0 x t h U1 n d @0 r t U0 n t f Y0 n = I0 x
achthundertundsieben	&0 x t h U1 n d @0 r t U0 n t z i0 b @0 n
achthundertundvierzig	&0 x t h U1 n d @0 r t U1 n t f I1 r = I0 x
achthätten	&1 x t h E0 t @0 n
achtsam	&1 x t z a0 m
achtunddreissig	&1 x t U0 n t d r W1 s I0 x
achtunddreissigsten	&1 x t U0 n t d r W1 s I0 x s t @0 n
achtunddreissigtausend	&1 x t U0 n t d r W1 s I0 x t B0 z @0 n t
achtundneunzig	&1 x t U0 n t n X1 n = I0 x
achtundsechzig	&1 x t U0 n t z E1 x = I0 x
achtundvierzig	&1 x t U0 n t f I1 r = I0 x
achtundzwanzig	&1 x t U0 n t = v &1 n = I0 x
achtundzwanzigtausendsechshundert	&1 x t U0 n t = v &1 n = I0 x t B0 z @0 n t z E1 k s h U1 n d @0 r t
achtzehn	&1 x t = e0 n
achtzehntausend	&1 x = e0 n t B1 z @0 n t
achtzehnte	&1 x = e0 n t @0
achtzehnten	&1 x = e0 n t @0 n
achtzig	&1 x = I0 x
achtzigtausend	&1 x = I0 x t B0 z @0 n t
acker	&1 k @0 r
ackerbau	&1 k @0 r b B0
ackerfeld	&1 k @0 r f E0 l t
ackerland	&1 k @0 r l &0 n t
ackerleute	&1 k @0 r l X0 t @0
ackerleuten	&1 k @0 r l X0 t @0 n
ackermann	&1 k @0 r m &0 n
ackern	&1 k @0 r n
ackers	&1 k @0 r s
ackerwerks	&1 k @0 r v E0 r k s
ada	&0 d a0
adada	&0 d a1 d a0
adaja	&0 d a1 j a0
adajas	&0 d a1 j a0 s
adalja	&0 d &1 l j a0
adam	&0 d &0 m
adama	&0 d a1 m a0
adami	&0 d &0 m i0
adams	a1 d &0 m s
adar	&0 d a1 r
adas	&0 d a0 s
adbeel	&0 t b e1 l
addar	&0 d a1 r
addis	&0 d i0 s
addon	&0 d ~1
ader	a1 d @0 r
adin	&0 d I0 n
adina	&0 d i0 n a0
adithajim	&0 d i0 t W0 i1 m
adiël	&0 d I1 l
adiëls	&0 d I1 l s
adlais	&0 t l )1
adler	a1 d l @0 r
adlerfedern	a1 d l @0 r f e0 d @0 r n
adlerflügeln	a1 d l @0 r f l y0 g @0 l n
adlers	a1 d l @0 r s
adma	&0 t m a0
admatha	&0 t m &1 t a0
admins	&0 t m i0 n s
adna	&0 t n a0
adnach	&0 t n &1 x
adoni	&0 d o1 n i0
adonia	&0 d o1 n i0 a0
adonias	&0 d o1 n i0 a0 s
adonikam	&0 d o1 n I0 k a0 m
adoniram	&0 d o1 n I0 r a1 m
adorajim	&0 d o0 r &0 j i0 m
adoram	&0 d o0 r a1 m
adrammelech	&0 d r &0 m @0 l E0 x
adramyttisches	&0 d r a0 m y0 t I0 S @0 s
adria	a1 d r i0 a0
adriël	&0 d r i1 l
adullam	&0 d U1 l l &0 m
adummim	&0 d U1 m i0 m
affen	&1 f @0 n
agabus	&0 g &0 b U0 s
agag	&0 g a1 k
agagiter	&0 g a1 g i0 t @0 r
agagiters	&0 g a1 g i0 t @0 r s
ages	a1 g @0 s
agrippa	&0 g r I1 p a0
agurs	&0 g u1 r s
ah	a1
ahab	&0 h a1 p
ahabs	&0 h a1 p s
aharhels	&0 h a1 r h e1 l s
ahas	&0 h &0 s
ahasais	&0 h &0 s W1 s
ahasbais	&0 h &0 s b W1 s
ahaschtariter	&0 h &1 S t a0 r i0 t @0 r
ahasja	&0 h &0 s j a0
ahasjas	&0 h &0 s j a0 s
ahasveros	&0 h &0 s v e1 r o0 s
ahawa	&0 h a0 a0
ahers	a1 @0 r s
ahi	&0 h i1
ahia	&0 h i1 a0
ahiam	&0 h i1 &0 m
ahias	&0 h i1 a0 s
ahihud	&0 h i0 h u0 t
ahikam	&0 h i1 k a0 m
ahikams	&0 h i1 k a0 m s
ahiluds	&1 h I0 l u0 =
ahimaaz	&0 h i1 m a0 &0 =
ahiman	&0 h i1 m a0 n
ahimelech	&0 h i1 m e0 l E0 x
ahimelechs	&0 h i1 m e0 l E0 x s
ahimoth	&0 h i0 m o0 t
ahinadab	&0 h I1 n &0 d a0 p
ahinoam	&1 h I0 n o0 &0 m
ahira	&1 h I0 r a0
ahiram	&1 h I0 r a1 m
ahiramiter	&1 h I0 r &0 m i0 t @0 r
ahiras	&1 h I0 r a0 s
ahisamachs	&0 h i1 z &0 m &1 x s
ahischahar	&1 h I0 S &0 h a1 r
ahischar	&1 h I0 S a1 r
ahithophel	&0 h i1 t o0 f e1 l
ahithophels	&0 h i1 t o0 f e1 l s
ahitub	&0 h i1 t u0 p
ahitubs	&0 h i1 t U1 p s
ahiëser	&0 h i1 z @0 r
ahiësers	&0 h i1 z @0 r s
ahnherr	a1 n h E0 r
ahoach	a1 h O0 &0 x
ahoachiter	a1 h O0 &0 x i1 t @0 r
ahumai	&0 h u0 m W1
ahusam	&0 h u0 z a0 m
ahussat	a1 U0 s a1 t
ai	a1 i0
aja	a1 j a0
ajalon	a1 j &0 l ~1
ajin	&0 j null1
ajja	&0 j j a0
ajjas	&0 j j a0 s
ajjath	&0 j j a1 t
akan	&0 k a1 n
akazien	&0 k a1 = i0 @0 n
akazienholz	&0 k a1 = i0 @0 n h O0 l =
akeldamach	&0 k @0 l d &0 m &1 x
akkad	&0 k a1 t
akko	&0 k o0
akkub	&0 k u0 p
alammelech	&0 l &0 m @0 l E0 x
alemeth	&0 l @0 m e0 t
alexander	&0 l E0 k s &1 n d @0 r
alexandrien	&0 l E0 k s &1 n d r i1 @0 n
alexandriner	&0 l E0 k s &1 n d r i1 n @0 r
all	&1 l
allda	&0 l d a1
alle	&1 l @0
alledem	&0 l e1 d @0 m
allein	&0 l W1 n
alleinigen	&0 l W1 n I0 g @0 n
allem	&1 l @0 m
allemal	&1 l @0 m a1 l
allen	&1 l @0 n
allenthalben	&1 l @0 n t h &1 l b @0 n
aller	&1 l @0 r
alleredelsten	&1 l @0 r e1 d @0 l s t @0 n
allererst	&1 l @0 r e1 r s t
allererste	&1 l @0 r e1 r s t @0
allerfestesten	&1 l @0 r f E0 s t @0 s t @0 n
allergeringsten	&0 l E1 r g @0 r I1 N s t @0 n
allergewisseste	&0 l E0 r g @0 v I1 s @0 s t @0
allergrössten	&0 l E0 r g r 1 s t @0 n
allerheiligste	&1 l @0 r h W1 l I0 x s t @0
allerheiligsten	&1 l @0 r h W1 l I0 x s t @0 n
allerhöchste	&1 l @0 r h 1 x s t @0
allerhöchsten	&1 l @0 r h 1 x s t @0 n
allerlautersten	&1 l @0 r l B0 t @0 r s t @0 n
allerlei	&1 l @0 r l W1
allerletzten	&1 l @0 r l E1 = t @0 n
allerliebsten	&1 l @0 r l i1 p s t @0 n
allermeist	&1 l @0 r m W1 s t
allermeisten	&1 l @0 r m W1 s t @0 n
allernächste	&1 l @0 r n )1 x s t @0
allerreinste	&1 l @0 r r W0 n s t @0
allerschönste	&1 l @0 r S 1 n s t @0
allerschönsten	&1 l @0 r S 1 n s t @0 n
allerstrengsten	&1 l @0 r S t r E0 N s t @0 n
allertörichtste	&1 l @0 r t 1 r I0 x t s t @0
allerverachtetste	&1 l @0 r f E0 r &0 x t @0 t s t @0
alles	&1 l @0 s
allesamt	&1 l @0 z &1 m t
allewege	&1 l @0 v e1 g @0
allezeit	&1 l @0 = W1 t
allhier	&1 l h i1 r
alljährlich	&1 l j )1 r l I0 x
allmächtig	&0 l m E1 x t I0 x
allmächtige	&0 l m E1 x t I0 g @0
allmächtigen	&0 l m E1 x t I0 g @0 n
allmächtiger	&0 l m E1 x t I0 g @0 r
allons	&0 l ~1
alltäglichen	&1 l t )0 k l I0 x @0 n
allwissenden	&1 l v I1 s @0 n d @0 n
allzu	&1 l = u0
allzumal	&1 l = u0 m a1 l
allzusehr	&1 l = u0 z e0 r
almodad	&0 l m o0 d a1 t
almon	&0 l m o0 n
almosen	&0 l m o0 z @0 n
aloe	a1 l o0 e0
aloebäume	a1 l o0 @0 b X0 m @0
alphäus	&1 l p h X0 s
als	&1 l s
alsbald	&1 l s b &1 l t
alsdann	&1 l s d &1 n
also	&1 l z o0
alt	&1 l t
altar	&0 l t a1 r
altars	&0 l t a1 r s
altarsteine	&0 l t a1 r S t W0 n @0
alte	&1 l t @0
altem	&1 l t @0 m
alten	&1 l t @0 n
alter	&1 l t @0 r
alters	&1 l t @0 r s
altes	&1 l t @0 s
altweiberfabeln	&0 l t v W1 b @0 r f a0 b @0 l n
altäre	&0 l t )1 r @0
altären	&0 l t )1 r @0 n
alusch	&0 l U1 S
alwa	&1 l v a0
alwan	&1 l v a1 n
am	&1 m
amad	&0 m a1 t
amal	&0 m a1 l
amalek	a1 m &0 l @0 k
amalekiter	&0 m &0 l e0 k i0 t @0 r
amalekitern	&0 m &0 l e0 k i0 t @0 r n
amalekiters	&0 m &0 l e0 k i0 t @0 r s
amam	&0 m a1 m
amana	&0 m a1 n a0
amarja	&0 m &0 r j a0
amarjas	&0 m &0 r j a0 s
amasa	&0 m &0 s a0
amasai	&0 m &0 z a1 i0
amasais	&0 m &0 z a1 i0 s
amasas	&0 m &0 s a0 s
amaschsai	&0 m &1 S z W1
amasja	&0 m &1 s j a0
amazja	&0 m &0 = j a0
amazjas	&0 m &0 = j a0 s
amboss	&1 m b O0 s
ameise	a1 m W0 z @0
ameisen	a1 m W0 z @0 n
amen	a1 m E0 n
amethyst	&0 m e0 t Y1 s t
amittais	&0 m I1 t W1 s
amma	&1 m a0
amme	&1 m @0
ammen	&1 m @0 n
ammi	&1 m i0
ammihud	&1 m i0 h u0 t
ammihuds	&1 m i0 h u0 =
amminadab	&1 m i0 n &0 d a0 p
amminadabs	&1 m i0 n &0 d a0 p s
ammisabad	&1 m i0 z a1 b a0 t
ammischaddais	&1 m I0 S &0 t d W1 s
ammiël	&1 m i0 l
ammiëls	&1 m i0 l s
ammon	&1 m O0 n
ammoni	&0 m o1 n i0
ammoniter	&0 m o0 n i1 t @0 r
ammoniterin	&0 m o0 n i1 t @0 r I0 n
ammonitern	&0 m o0 n i1 t @0 r n
ammonitische	&0 m o0 n i1 t I0 S @0
ammons	&1 m O0 n s
amnon	&0 m n O0 n
amok	a1 m O0 k
amon	a1 m O0 n
amons	a1 m O0 n s
amoriter	&0 m o0 r i0 t @0 r
amoritern	&0 m o0 r i0 t @0 r n
amoriters	&0 m o0 r i0 t @0 r s
amos	&0 m o1 s
amoz	&1 m o0 =
amphipolis	&0 m f i1 p o0 l I0 s
ampliatus	&0 m p l i0 a1 t U0 s
amram	&0 m r &0 m
amramiter	&0 m r &0 m i0 t @0 r
amramitern	&0 m r &0 m i0 t @0 r n
amrams	&0 m r &0 m s
amraphel	&0 m r &0 f e1 l
amt	&0 m t
amtes	&1 m t @0 s
amtleute	&1 m t l X0 t @0
amtleuten	&1 m t l X0 t @0 n
amtmann	&1 m t m &0 n
amtsdiener	&1 m = d i0 n @0 r
amtskleid	&1 m = k l W0 t
amtskleider	&1 m = k l W0 d @0 r
amtskleidern	&1 m = k l W0 d @0 r n
amulette	&0 m u0 l E1 t @0
amzis	&0 m = i0 s
an	&1 n
ana	&1 n a0
anab	&0 n &1 p
anaharath	&0 n &0 h &0 r a1 t
anaja	&0 n a1 j a0
anamiter	&0 n &0 m i0 t @0 r
anammelech	&0 n &0 m @0 l E0 x
anan	&1 n &0 n
anani	&0 n a1 n i0
ananias	&1 n &0 n i1 a0 s
ananja	&1 n &0 n j a0
ananjas	&1 n &0 n j a0 s
anas	&0 n &0 s
anath	&0 n a1 t
anathoth	&0 n &0 t o0 t
anathothiter	&0 n &0 t o0 t i1 t @0 r
anaths	&0 n &0 t s
anbau	&1 n b B0
anbaus	&1 n b B0 s
anbefohlen	&1 n b @0 f o1 l @0 n
anbeginn	&1 n b @0 g I0 n
anbete	&1 n b e0 t @0
anbeten	&1 n b e0 t @0 n
anbetend	&1 n b e0 t @0 n t
anbeter	&1 n b e0 t @0 r
anbetest	&1 n b e0 t @0 s t
anbetet	&1 n b e0 t @0 t
anbetete	&1 n b e0 t @0 t @0
anbeteten	&1 n b e0 t @0 t @0 n
anbetung	&1 n b e0 t U0 N
anbieten	&1 n b i0 t @0 n
anbinden	&1 n b I0 n d @0 n
anbläst	&1 n b l )0 s t
anbrach	&1 n b r a0 x
anbreche	&1 n b r E0 x @0
anbrennen	&1 n b r E0 n @0 n
anbricht	&1 n b r I0 x t
anbringen	&1 n b r I0 N @0 n
anbruch	&1 n b r U0 x
andacht	&1 n d &0 x t
andauern	&1 n d B0 @0 r n
andenken	&1 n d E0 N k @0 n
ander	&1 n d @0 r
andere	&1 n d @0 r @0
anderen	&1 n d @0 r @0 n
anderer	&1 n d @0 r @0 r
anderes	&1 n d @0 r @0 s
anderm	&1 n d @0 r m
andermal	&1 n d @0 r m a1 l
andern	&1 n d @0 r n
andernmal	&1 n d @0 r n m a0 l
anders	&1 n d @0 r s
anderswo	&1 n d @0 r s v o1
anderswohin	&1 n d @0 r s v o0 h I1 n
anderthalb	&1 n d @0 r t h &1 l p
andeutet	&1 n d X0 t @0 t
andre	&1 n d r @0
andreas	&0 n d r e1 &0 s
andren	&1 n d r @0 n
andrer	&1 n d r @0 r
andres	&1 n d r @0 s
andronikus	&0 n d r o0 n i0 k U0 s
